Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name,transaction_datetime
01/01/2025,00:00,839964633.0,3385.0,2602.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,793069740.0,3318.0,2780.0,,Mountain Warehouse,2025-01-01 00:00:00
01/01/2025,00:00,793069740.0,2278.0,-1040.0,705519819.0,,2025-01-01 00:00:00
01/01/2025,00:00,705519819.0,2726.0,1040.0,793069740.0,,2025-01-01 00:00:00
01/01/2025,00:00,726302171.0,3253.5,1542.5,,Craftastic,2025-01-01 00:00:00
01/01/2025,00:00,726302171.0,2633.5,-620.0,691709877.0,,2025-01-01 00:00:00
01/01/2025,00:00,691709877.0,1583.0,620.0,726302171.0,,2025-01-01 00:00:00
01/01/2025,00:00,714074171.0,4234.0,2865.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,568867330.0,3241.0,2601.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,147241590.0,4925.0,3750.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,147241590.0,3435.0,-1490.0,525460691.0,,2025-01-01 00:00:00
01/01/2025,00:00,525460691.0,3223.0,1490.0,147241590.0,,2025-01-01 00:00:00
01/01/2025,00:00,591158111.0,5022.0,3750.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,591158111.0,3562.0,-1460.0,223322748.0,,2025-01-01 00:00:00
01/01/2025,00:00,223322748.0,2878.0,1460.0,591158111.0,,2025-01-01 00:00:00
01/01/2025,00:00,252495142.0,3171.0,1584.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,680904354.0,3360.0,2602.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,478188116.0,2367.0,1680.0,,Game,2025-01-01 00:00:00
01/01/2025,00:00,219803924.0,5218.0,3376.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,651515518.0,2541.0,1833.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,560592808.0,3175.0,2210.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,802375673.0,3197.0,1584.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,129677204.0,3266.1,1620.1,,Coffee Republic,2025-01-01 00:00:00
01/01/2025,00:00,129677204.0,2856.1,-410.0,992557401.0,,2025-01-01 00:00:00
01/01/2025,00:00,992557401.0,1222.0,410.0,129677204.0,,2025-01-01 00:00:00
01/01/2025,00:00,737232390.0,2957.0,2210.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,526828764.0,3419.0,1675.0,,Wool,2025-01-01 00:00:00
01/01/2025,00:00,775012325.0,2311.0,1750.0,,Full of Beans,2025-01-01 00:00:00
01/01/2025,00:00,461915650.0,4162.1,2648.1,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,461915650.0,3502.1000000000004,-660.0,433800571.0,,2025-01-01 00:00:00
01/01/2025,00:00,433800571.0,1888.0,660.0,461915650.0,,2025-01-01 00:00:00
01/01/2025,00:00,398669730.0,3090.5,1542.5,,Craftastic,2025-01-01 00:00:00
01/01/2025,00:00,267261936.0,4233.0,2495.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,267261936.0,3613.0,-620.0,778735129.0,,2025-01-01 00:00:00
01/01/2025,00:00,778735129.0,1323.0,620.0,267261936.0,,2025-01-01 00:00:00
